J,R,E,M,E_Num,algo,n_subtypes,mallows_temperature,kendalls_w,runtime,kendalls_tau,subtype_acc,stage_mae,mean_stage_healthy,runtime_cross_validation,absolute_error_n_subtypes,relative_error,correct_bool
726,0.21,sn_kjContinuousBeta_sigmoid,23,1,BebmS (Blind),3,0.11785572901423595,0.8477127712771277,189.3789323012034,0.3826936026936027,-0.0072595219184706855,9.391184573002755,0.2119205298013245,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,23,1,Random Guessing,3,0.11785572901423595,0.8477127712771277,0.0,0.547219669809008,0.0034837264797105984,52.69559228650138,5.847682119205298,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,23,1,SuStaIn (GMM),3,0.11785572901423595,0.8477127712771277,425.4905542254448,0.41239057239057236,0.4430346280654095,16.020661157024794,43.913907284768214,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,23,1,SuStaIn (KDE),3,0.11785572901423595,0.8477127712771277,377.1526323119799,0.3482828282828283,0.03776151412346715,13.962809917355372,19.695364238410598,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,24,1,BebmS,3,0.17896772825799773,0.9175170850418375,147.370705584685,0.37622895622895625,-0.00556439109752826,8.444137931034483,0.0,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,24,1,BebmS (Blind),3,0.17896772825799773,0.9175170850418375,180.79449402093888,0.41259259259259257,0.0,10.729655172413793,0.1986754966887417,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,24,1,Random Guessing,3,0.17896772825799773,0.9175170850418375,0.0,0.5566770908598361,0.001271008151810587,51.684137931034485,5.900662251655629,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,24,1,SuStaIn (GMM),3,0.17896772825799773,0.9175170850418375,409.8524450540543,0.44228956228956223,0.19281406500797402,21.01103448275862,49.90066225165563,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,24,1,SuStaIn (KDE),3,0.17896772825799773,0.9175170850418375,537.1353947559993,0.32942760942760946,0.0033631308812882895,14.463448275862069,20.013245033112582,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,25,1,BebmS,3,0.4847527166437365,0.9908817548421509,111.82020352284114,0.42424242424242425,0.0,11.196969696969697,0.006622516556291391,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,25,1,BebmS (Blind),3,0.4847527166437365,0.9908817548421509,144.5746975461642,0.383973063973064,0.0,8.90771349862259,2.1125827814569536,,0.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,25,1,Random Guessing,3,0.4847527166437365,0.9908817548421509,0.0,0.48275232375351845,0.000613008317715437,53.108815426997246,5.596026490066225,,0.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,25,1,SuStaIn (GMM),3,0.4847527166437365,0.9908817548421509,345.74703024228415,0.48781144781144775,0.02461476731129252,19.46694214876033,46.24503311258278,,,100,100
